event_date,age,gender,event_state
,,male,AB
,,male,AB
28/02/2021,34,male,AL
11/10/2020,63,male,AL
15/01/2021,56,male,AL
31/08/2021,19,male,AL
22/02/2021,40,male,AL
29/11/2020,67,female,AL
16/08/2021,39,male,AL
22/04/2021,45,male,AL
15/10/2020,40,male,AL
17/08/2021,63,male,AL
20/09/2021,61,male,AL
30/11/2020,35,male,AL
11/01/2021,70,female,AL
04/01/2021,51,female,AL
17/11/2020,64,male,AL
28/08/2021,34,male,AL
02/04/2021,37,male,AL
29/03/2021,51,male,AL
18/08/2021,56,male,AL
04/10/2020,26,female,AL
02/07/2021,33,male,AL
20/01/2021,68,male,AL
31/08/2021,19,male,AL
14/12/2020,41,male,AL
24/10/2020,32,male,AL
01/02/2021,63,female,AL
12/11/2020,59,male,AL
02/10/2020,45,male,AL
25/08/2021,59,male,AL
29/08/2021,59,female,AL
05/07/2021,33,male,AL
09/09/2021,58,male,AL
27/01/2021,22,male,AL
09/03/2021,38,male,AL
01/07/2021,57,male,AL
04/09/2021,56,male,AL
09/09/2021,51,male,AL
10/07/2021,55,male,AL
02/07/2021,45,male,AL
07/12/2020,25,male,AL
04/01/2021,35,male,AL
20/10/2020,33,male,AL
15/02/2021,58,female,AL
03/05/2021,36,male,AL
26/12/2020,67,female,AL
23/09/2021,33,male,AL
23/08/2021,77,male,AL
10/18/2021,57,male,AL
11/17/2021,29,male,AL
11/20/2021,41,male,AL
11/15/2021,45,female,AL
11/24/2021,80,male,AL
12/02/2021,50,male,AL
12/01/2021,,male,AL
12/13/2021,32,male,AL
11/28/2021,,,AL
11/29/2021,,,AL
02/01/2022,56,male,AL
1/14/2021,70,female,AL
31/03/2021,34,male,AR
20/12/2020,71,male,AR
13/01/2021,33,male,AR
22/06/2021,62,male,AR
08/01/2021,55,male,AR
20/11/2020,41,male,AR
04/12/2020,63,female,AR
03/02/2021,60,male,AR
30/04/2021,38,male,AR
21/07/2021,54,female,AR
19/05/2021,54,male,AR
03/06/2021,60,male,AR
11/11/2020,60,female,AR
31/12/2020,66,male,AR
27/09/2021,63,female,AR
23/11/2020,68,female,AR
03/09/2021,51,male,AR
03/08/2021,31,male,AR
17/11/2020,51,female,AR
09/10/2020,70,male,AR
30/12/2020,44,male,AR
17/12/2020,56,male,AR
05/07/2021,58,male,AR
11/01/2021,57,female,AR
17/11/2020,60,male,AR
24/05/2021,39,male,AR
21/01/2021,77,male,AR
02/02/2021,62,male,AR
11/10/2021,21,male,AR
11/18/2021,,male,AR
11/18/2021,29,male,AR
12/10/2021,52,female,AR
12/07/2021,,male,AR
1/18/2022,69,male,AR
10/04/2021,51,male,AS
10/04/2021,44,male,AS
12/01/2021,35,male,AZ
05/02/2021,61,male,AZ
26/08/2021,63,female,AZ
16/12/2020,19,male,AZ
29/08/2021,47,male,AZ
20/01/2021,54,male,AZ
06/08/2021,37,male,AZ
10/16/2021,,male,AZ
10/20/2021,60,male,AZ
11/02/2021,59,male,AZ
11/05/2021,,male,AZ
1/14/2022,38,male,AZ
3/19/2021,71,male,AZ
03/11/2021,58,male,AZ
5/22/2021,36,male,AZ
4/22/2021,29,female,AZ
6/18/2021,41,male,AZ
7/19/2021,37,male,AZ
8/28/2021,53,male,AZ
09/09/2021,21,male,AZ
8/30/2021,43,male,AZ
8/30/2021,32,male,AZ
6/29/2021,32,male,AZ
11/10/2021,51,male,AZ
8/13/2021,44,male,AZ
09/09/2021,42,male,AZ
11/05/2021,45,male,AZ
,,male,AZ
,,male,AZ
,,male,AZ
,,male,AZ
,,male,AZ
,,male,AZ
,,male,AZ
1/31/21,,male,AZ
3/27/21,37,male,AZ
04/11/2021,30,male,AZ
07/06/2021,62,male,AZ
8/19/21,,male,AZ
9/24/21,33,male,AZ
10/27/2021,51,male,AZ
11/02/2021,59,male,AZ
11/05/2021,45,male,AZ
11/10/2021,51,male,AZ
12/16/21,60,male,AZ
07/12/2020,41,male,CA
17/06/2021,51,male,CA
28/09/2021,68,male,CA
31/12/2020,36,male,CA
27/09/2021,34,male,CA
22/08/2021,46,male,CA
01/06/2021,54,male,CA
10/18/2021,,,CA
10/11/2021,29,female,CA
11/04/2021,,,CA
11/01/2021,34,male,CA
11/12/2021,35,male,CA
11/09/2021,47,male,CA
11/20/2021,,male,CA
11/16/2021,,,CA
11/24/2021,,male,CA
12/06/2021,,,CA
12/15/2021,33,male,CA
12/29/2021,42,male,CA
12/29/2021,67,male,CA
12/29/2021,,female,CA
12/29/2021,,female,CA
12/26/2021,30,male,CA
01/08/2022,41,male,CA
01/06/2022,47,male,CA
01/04/2022,,,CA
1/16/2022,,,CA
1/15/2022,64,male,CA
1/13/2022,,female,CA
01/09/2022,56,male,CA
1/19/2022,47,male,CA
12/15/2021,42,male,CA
1/17/2022,22,male,CA
1/31/2022,47,male,CA
1/26/2022,,male,CA
02/08/2022,47,male,CA
2/25/2022,30,male,CA
2/22/2022,51,male,CA
2/19/2022,44,male,CA
01/03/2021,64,male,CA
01/03/2021,30,female,CA
01/08/2021,63,female,CA
01/10/2021,53,female,CA
1/18/2021,36,male,CA
1/18/2021,58,female,CA
1/19/2021,65,male,CA
1/20/2021,54,male,CA
1/23/2021,81,male,CA
,,,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
,,female,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
,,,CA
,,male,CA
,,male,CA
,,male,CA
,,male,CA
01/03/2021,,,CA
03/08/2021,43,male,CA
7/15/21,,,CA
7/26/21,47,male,CA
8/25/21,,,CA
11/20/21,,,CA
