age,gender,event_date,event_state
,,12/17/17,CO
34,,12/18/17,NY
23,,11/29/17,NH
45,,12/18/17,VT
60,,12/19/17,CA
24,,12/19/17,SC
53,,12/20/17,AR
,,12/18/17,WA
25,,12/21/17,PA
43,,12/20/17,AZ
28,,12/20/17,KS
40,male,12/21/17,MN
35,,12/22/17,OK
53,,12/22/17,KS
34,,12/24/17,PA
,,12/26/17,KS
58,male,12/27/17,TX
33,male,12/26/17,CA
55,male,12/26/17,MI
53,male,12/23/17,MI
52,male,12/23/17,MI
28,male,11/15/17,MI
31,,12/29/17,WI
,,12/28/17,KS
19,,12/28/17,IL
56,male,12/22/17,MI
44,male,12/28/17,WV
40,male,12/28/17,CO
27,male,12/28/17,FL
29,male,12/31/17,CO
,male,12/29/17,WA
34,male,6/30/17,TX
53,male,9/28/17,TX
20,male,8/24/17,IL
34,male,6/23/17,LA
57,male,9/5/17,TX
25,male,9/27/17,TX
45,male,9/6/17,LA
21,male,9/18/17,AR
43,male,9/17/17,OK
27,male,9/19/17,AR
,male,9/20/17,TX
68,male,8/9/17,OK
26,male,9/8/17,LA
28,male,8/18/17,TX
31,male,8/18/17,LA
23,male,4/6/17,TX
25,male,8/7/17,TX
64,male,8/2/17,TX
50,male,8/3/17,LA
34,male,7/6/17,TX
34,male,7/26/17,TX
48,male,3/5/17,OK
21,male,7/18/17,OK
46,male,7/26/17,AR
28,male,7/24/17,TX
53,female,7/24/17,TX
31,male,5/26/17,OK
64,male,7/16/17,AR
20,male,7/10/17,TX
19,male,7/8/17,TX
35,male,6/30/17,LA
25,male,6/26/17,TX
38,male,6/15/17,OK
28,male,6/9/17,TX
70,male,6/5/17,TX
42,male,6/2/17,OK
57,male,6/2/17,TX
27,male,5/29/17,OK
66,female,4/26/17,OK
27,male,5/3/17,TX
56,male,5/7/17,TX
45,male,5/2/17,OK
37,male,2/9/17,LA
26,male,4/18/17,LA
54,male,4/18/17,AR
47,male,4/15/17,TX
49,male,4/11/17,LA
24,male,3/25/17,LA
40,male,3/6/17,TX
1,male,2/21/17,LA
61,male,2/9/17,TX
52,male,2/2/17,LA
32,male,2/10/17,OK
33,male,2/9/17,TX
58,male,1/31/17,TX
30,male,1/22/17,OK
66,male,9/18/17,WY
49,male,7/3/17,CA
30,male,9/13/17,TN
36,male,6/29/17,FL
55,male,6/29/17,FL
21,male,6/29/17,FL
40,male,6/29/17,FL
60,male,6/29/17,FL
39,male,12/9/17,KS
23,male,12/30/17,WA
54,male,10/11/17,OH
50,male,8/13/17,MS
40,male,8/12/17,VA
48,male,8/12/17,VA
47,male,7/24/17,TX
33,female,8/6/17,TX
37,male,8/6/17,MO
28,male,8/5/17,TX
38,male,7/27/17,IN
43,male,7/14/17,OK
26,male,7/14/17,PA
36,male,7/9/17,NY
48,female,7/4/17,NY
32,male,6/29/17,TX
37,male,6/28/17,IL
63,male,6/17/17,FL
52,male,6/17/17,FL
58,male,6/13/17,GA
42,male,6/13/17,GA
41,male,6/12/17,AR
41,female,6/9/17,TX
20,male,5/27/17,ME
25,male,6/6/17,FL
30,male,6/1/17,SC
32,male,5/30/17,WV
29,male,5/30/17,NJ
45,male,5/26/17,VA
36,male,5/27/17,MS
66,male,2/25/98,OH
30,male,5/20/17,TX
42,male,5/16/17,MT
42,female,5/13/17,CA
41,male,5/13/17,CA
38,male,5/12/17,OH
46,male,5/11/17,AR
34,male,5/10/17,MI
64,male,5/5/17,TN
43,male,5/1/17,IA
26,male,4/30/17,LA
29,male,4/26/17,NC
32,male,4/26/17,DE
32,male,4/16/17,PR
40,male,4/18/17,OK
39,male,4/11/17,SC
34,male,4/11/17,WI
61,male,4/10/17,AL
56,male,4/7/17,MO
67,male,10/14/96,WY
57,male,4/3/17,TX
30,male,3/28/17,KY
22,male,3/26/17,OK
60,male,3/26/17,NE
40,male,3/22/17,WI
43,male,3/18/17,LA
47,male,9/11/01,NY
44,male,3/12/17,NY
27,male,3/11/17,NM
32,male,3/9/17,VA
26,male,2/28/17,NY
23,male,2/22/17,OK
39,male,2/25/17,GA
60,male,2/23/17,CA
31,male,2/22/17,CA
53,male,2/20/17,CA
54,male,2/17/17,FL
49,male,2/16/17,NC
47,male,2/15/17,OH
57,male,2/5/17,GA
44,male,2/2/17,TN
47,male,2/2/17,DE
55,male,9/11/01,NY
45,male,1/24/17,OK
39,male,1/24/17,OH
26,male,1/20/17,LA
57,male,1/20/17,CA
27,male,1/19/17,IL
29,male,1/18/17,ND
47,male,1/17/17,TX
46,male,1/17/17,NM
59,male,1/10/17,WA
59,male,7/12/86,NY
35,male,1/9/17,FL
42,female,1/9/17,FL
32,male,1/6/17,NV
53,male,12/26/17,OK
46,male,12/26/17,KS
75,male,12/13/17,NJ
71,male,12/19/17,NJ
42,male,12/20/17,IN
58,male,12/18/17,NY
43,male,12/15/17,FL
32,male,12/14/17,CA
56,male,12/13/17,TX
60,male,12/1/17,TX
59,male,12/5/17,MA
27,male,11/10/17,IN
31,male,10/23/17,NJ
53,male,10/16/17,FL
38,male,10/16/17,CA
54,male,10/14/17,SD
40,male,10/9/17,NC
41,male,9/27/17,IN
47,male,7/31/03,WI
60,male,9/3/17,PA
59,male,9/10/17,CA
47,male,8/31/17,CA
71,male,8/26/17,AR
60,male,8/24/17,KY
58,male,8/13/17,AL
29,male,8/2/17,MT
61,male,8/2/17,TX
70,male,4/19/93,NJ
50,male,7/29/17,MI
19,male,7/19/17,MT
50,male,7/14/17,WA
59,male,7/5/17,MO
22,male,7/5/17,CA
38,male,7/8/17,CA
54,female,7/6/17,LA
74,male,6/21/17,NM
55,male,6/19/17,MO
55,male,6/14/17,MI
35,male,6/10/17,IL
29,male,6/3/17,CA
33,male,5/29/17,MO
26,male,5/24/17,CA
29,male,5/20/17,GA
63,male,5/19/17,VA
31,male,5/18/17,TX
52,male,5/5/17,KY
83,male,4/27/17,OH
54,male,4/10/17,NJ
55,male,4/28/17,CA
47,male,4/21/17,AL
42,male,4/20/17,NY
49,male,4/17/17,NC
52,male,4/7/17,MD
72,male,3/31/17,PA
54,male,3/17/17,MA
51,male,3/17/17,IA
53,female,3/15/17,MS
80,male,3/15/17,MS
45,male,3/10/17,PA
43,male,5/31/13,TX
63,male,2/25/17,MI
52,male,2/24/17,IA
68,male,2/22/17,OK
