age,gender,event_date,event_state
31,male,,MA
,,,TX
,,,IN
,,,FL
64,male,,MA
,,,AL
,,,MI
,,,MI
,,,TX
23,male,26/04/2016,TX
,,,IL
,,,KY
,,,MI
,,,AZ
,,,FL
,,,NC
36,male,27/04/2016,LA
70,male,,MA
,,,IL
,,,WV
,,,FL
,,,NJ
65,male,28/04/2016,TN
,,,IN
,,,FL
,,,IL
,,,FL
,,,IL
,,,TX
45,male,29/04/2016,CA
,,,ND
,,,TX
,,28/04/2016,FL
,,,FL
,,,NY
,,,NJ
,,,TX
,,,IA
,,,CA
,,,MO
,,,ID
,,,ID
,,,NY
,,,WI
,,,NY
,,,MO
,,,CA
60,male,04/05/2016,MA
22,male,04/05/2016,KY
,,,CA
,,,FL
,,,IL
,,,IA
,,,NY
,,,IL
29,male,05/05/2016,OR
,male,05/05/2016,TX
,,05/05/2016,FL
,,,MI
,,,TX
,,,MS
,,,TX
,male,06/05/2016,SD
,male,23/04/2016,TX
,,,MS
,,,CO
,,,WV
,,,MS
,,,WV
,,,TX
,,,LA
,,,UT
,,,LA
,,,TN
,,,TX
,,,FL
,,,TX
59,male,11/05/2016,FL
36,male,11/05/2016,TX
37,male,11/05/2016,TX
,male,11/05/2016,TX
40,male,12/05/2016,MA
,,,TX
,,,UT
,,,FL
,male,13/05/2016,OR
61,male,13/05/2016,CA
,,,WA
69,male,14/05/2016,FL
,,,WA
,,,IL
36,male,16/05/2016,DE
25,male,16/05/2016,MD
46,male,16/05/2016,WA
37,male,16/05/2016,NC
,,,OH
,,,FL
,,,FL
,,,NE
,,,NC
,,,IL
47,male,18/05/2016,OK
,,,WA
,,,AR
,,,NC
44,male,19/05/2016,IL
31,male,19/05/2016,NC
,male,13/05/2016,PA
,,,SD
,,,TX
,,20/05/2016,LA
,male,20/05/2016,GA
48,male,20/05/2016,TX
55,male,20/05/2016,LA
,male,20/05/2016,GA
42,male,21/05/2016,MA
,,,TX
29,male,22/05/2016,MA
74,male,27/04/2016,MA
,,,MA
56,male,23/05/2016,MA
,,,VA
,,,
,,,NC
,,,WY
,,,MA
,,,KY
,,23/05/2016,SC
,,23/05/2016,TX
42,male,23/05/2016,NC
43,male,23/05/2016,IL
60,male,04/05/2016,MA
,,,WI
,,,AL
,,,KY
,,,NC
,,,OK
,,,NH
,,24/05/2016,NC
,,24/05/2016,OK
,,23/05/2016,WY
19,male,24/05/2016,KY
,,,NY
,male,25/05/2016,TX
,,,TX
,,26/05/2016,NV
,,,IN
,,,VA
55,male,,MA
22,male,28/05/2016,MA
,,,FL
,,,FL
,,,CA
55,male,31/05/2016,NY
,male,31/05/2016,FL
,,,CA
,male,01/06/2016,AL
,,,MN
,,,TX
,,,WA
,,,CA
,,,OH
,male,03/06/2016,TX
,,03/06/2016,CA
29,male,03/06/2016,OH
58,male,03/06/2016,KS
,,,CT
,,,NY
,,,AZ
69,male,12/12/2015,MA
,,,FL
25,male,05/06/2016,PA
53,male,,MA
,,,FL
,,,MT
,,,CO
43,male,06/06/2016,PA
,,,NV
,,07/06/2016,ME
,male,07/06/2016,NC
38,male,07/06/2016,WV
,,06/06/2016,CO
,male,07/06/2016,TX
,,,AZ
,,,GA
,,,IN
,male,09/06/2016,CT
,,,NY
,,,TN
58,female,10/06/2016,CA
68,male,07/06/2016,IA
,,,FL
,,,NM
,,,TX
,male,10/06/2016,OH
,,,FL
,,,MN
,,,MN
,,13/06/2016,PR
23,male,13/06/2016,OK
28,male,13/06/2016,MN
22,male,13/06/2016,AZ
,male,13/06/2016,AL
,,,ND
,,,WI
,,,IL
,,,TX
,male,14/06/2016,TX
,,,OH
,,,CA
,,,VA
,,,IN
,,,FL
,,06/06/2016,CA
25,male,15/06/2016,TX
33,male,15/06/2016,OH
,,,AL
,,,TX
,,,PA
,,,OH
29,male,16/06/2016,WY
41,male,16/06/2016,TX
,,,MO
,male,17/06/2016,NY
,,,ND
,,,TX
,,,TX
,,,FL
,,,CO
,male,18/06/2016,MD
,,,TX
,,,AL
,,,NY
20,female,18/06/2016,AL
48,male,20/06/2016,MA
,,,CA
,,,ND
,,,PA
,,,OH
,,,CA
,,,AL
,,20/06/2016,OH
,,20/06/2016,PA
,male,20/06/2016,SD
,male,20/06/2016,IL
,,20/06/2016,VA
,male,20/06/2016,LA
,,,FL
,,,OH
56,male,21/06/2016,CT
,,22/06/2016,VA
,,,IL
,,,IN
,,,CA
,,,LA
,,,TN
,,22/06/2016,OK
,,,CA
,,24/06/2016,MI
57,male,24/06/2016,WI
,,,LA
,,,MI
,,,CA
,,,MI
,,,WA
,,,TX
,,27/06/2016,MI
,,27/06/2016,MI
,male,27/06/2016,TX
,male,27/06/2016,AL
,,,LA
,,,PA
,,,TX
,,,TX
,,,TX
,,,OK
52,male,28/06/2016,MA
,,,MT
,,,TN
,,,TX
,,29/06/2016,TN
,,,KS
,,,FL
,,,VT
,,,AL
,,30/06/2016,CA
,,30/06/2016,CA
,male,30/06/2016,KS
61,male,30/06/2016,VT
,,,WA
,,,WI
,,,IL
55,male,01/07/2016,PA
40,male,01/07/2016,WA
,,01/07/2016,IL
,,,TX
,,,NJ
,,,TN
,,,WI
,,02/07/2016,TN
,,29/06/2016,UT
,,,WA
,,28/06/2016,SC
,,,KY
,,,CA
,,,IL
,,05/07/2016,WV
,,,IL
,,,CA
,,,NE
,,,UT
,,,PA
37,male,07/07/2016,PA
,,07/07/2016,PA
,,07/07/2016,FL
,,07/07/2016,TX
,,29/06/2016,FL
48,male,08/07/2016,PA
,,,ND
,,,TX
,,09/07/2016,TN
,,10/07/2016,LA
,,,FL
,,,PR
,,11/07/2016,CO
,male,,TX
,,,FL
,,,VA
,,,VA
,,,TX
,,,TX
50,female,12/07/2016,VA
38,male,12/07/2016,VA
,,12/07/2016,AZ
,male,12/07/2016,TX
,,,NH
,,,
,,,TX
,,,CT
,male,13/07/2016,AR
,,,AZ
,,,CA
,male,14/07/2016,TX
,male,14/07/2016,VA
,male,14/07/2016,AL
,male,14/07/2016,OK
,,14/07/2016,MD
,male,14/07/2016,OH
38,male,15/07/2016,MA
,,,OH
,,,NY
,,,TN
42,male,15/07/2016,OH
,male,15/07/2016,LA
58,male,15/07/2016,FL
48,male,15/07/2016,SD
,,,WV
,,,VA
,,,NY
,,,TX
,,,MO
,male,18/07/2016,TX
,male,18/07/2016,CT
,,,MD
,,,NM
,,,PA
,,,VA
,,,TN
,,,AZ
,,,TN
,,,TX
,,,FL
,,19/07/2016,TN
34,male,19/07/2016,AZ
,,19/07/2016,CA
,,,OH
,,,VA
,,,VA
,,,TX
,,,TN
,,20/07/2016,CA
,,20/07/2016,NC
,,20/07/2016,OR
,,20/07/2016,MA
,,20/07/2016,SC
,,20/07/2016,TN
,,20/07/2016,AL
56,male,21/07/2016,NH
52,male,21/07/2016,CA
,,21/07/2016,IL
,,21/07/2016,TX
,,21/07/2016,PA
,,21/07/2016,SC
,male,21/07/2016,TX
,,21/07/2016,NC
31,male,21/07/2016,IA
65,male,20/07/2016,TX
,,17/07/2016,VA
,,,MO
,,,MO
,,,FL
,,,KY
,,,IN
,,,NY
,,22/07/2016,NY
,,22/07/2016,TX
,,22/07/2016,CA
,,22/07/2016,OK
,male,22/07/2016,MI
,,22/07/2016,SC
,,,LA
,,,NY
,,,VA
,,,IA
,male,23/07/2016,MS
,,24/07/2016,TX
59,male,25/07/2016,MA
,,,TN
,,,MN
52,male,25/07/2016,WV
58,male,25/07/2016,MI
29,male,25/07/2016,FL
,,25/07/2016,AZ
,,25/07/2016,NY
23,male,26/07/2016,MI
43,male,,MA
23,male,26/07/2016,MI
,,,MI
,,,MN
35,male,26/07/2016,CA
,,26/07/2016,CA
,,26/07/2016,TN
63,male,27/07/2016,TN
,male,27/07/2016,MD
,,27/07/2016,CA
,,27/07/2016,GA
22,male,28/07/2016,MA
65,male,,MA
,,28/07/2016,CA
,,28/07/2016,TX
42,male,29/07/2016,IL
33,male,29/07/2016,IL
,,29/07/2016,OH
34,male,,TX
,,30/07/2016,NJ
,,,WA
,,,SD
,,,MN
,,01/08/2016,CA
36,male,01/08/2016,NC
,male,01/08/2016,OH
62,male,01/08/2016,NY
,,,NM
,,,TX
28,male,02/08/2016,MS
57,male,02/08/2016,AK
,male,02/08/2016,MT
,,03/08/2016,NY
21,male,03/08/2016,NC
57,male,03/08/2016,NY
,,,TX
,,,GA
,,,NY
,,03/08/2016,ND
37,male,03/08/2016,CA
55,male,03/08/2016,NY
57,male,03/08/2016,NY
,,,
,,,AR
,,,
,,,KY
,male,04/08/2016,TX
,,04/08/2016,NC
,,,PA
,,,KY
,,,FL
,,,MN
,,,IL
52,male,05/08/2016,GA
,,05/08/2016,MN
,,,CA
59,male,06/08/2016,FL
69,male,06/08/2016,NY
56,male,18/05/2000,MA
,,,OH
42,male,07/08/2016,IL
,,,AZ
,,,AZ
,,,FL
32,male,08/08/2016,CA
49,male,08/08/2016,TX
,,08/08/2016,TX
,,08/08/2016,TX
,,08/08/2016,CA
,,08/08/2016,NY
,male,08/08/2016,PA
,male,05/08/2016,CO
,,,TN
,,,KY
,,,MN
49,male,09/08/2016,NY
56,male,10/08/2016,VA
,,,IN
,,,VA
,,,KY
,,,AZ
48,male,10/08/2016,MI
,,10/08/2016,MA
,,10/08/2016,AZ
,,08/08/2016,KY
,,,
,,,MO
,,,MO
,male,11/08/2016,OH
,,12/08/2016,VA
47,male,12/08/2016,VA
,,,NV
,,,KS
47,male,12/08/2016,VA
,male,12/08/2016,MD
,,12/08/2016,AL
,,12/08/2016,SC
,,,FL
,,,CA
,,,MI
,,,WA
,,,GA
,,,CA
,,,NJ
,,,CA
37,male,15/08/2016,NJ
36,male,15/08/2016,OH
,male,15/08/2016,GA
,male,15/08/2016,FL
,male,15/08/2016,MO
55,male,,MA
,,,TX
,,16/08/2016,MI
,,16/08/2016,OH
,male,16/08/2016,MI
65,male,17/08/2016,TX
,,,FL
,,17/08/2016,CA
47,male,17/08/2016,FL
,,17/08/2016,NY
,male,17/08/2016,TX
,,17/08/2016,WI
,,17/08/2016,MO
,,17/08/2016,KY
,,18/08/2016,NH
,,18/08/2016,CA
,,18/08/2016,TX
,,18/08/2016,OH
,,18/08/2016,VA
45,male,18/08/2016,NH
47,male,17/08/2016,MO
,,,WA
,,,MI
27,male,19/08/2016,PA
19,male,19/08/2016,TX
,,19/08/2016,NY
,,20/08/2016,CA
47,male,22/08/2016,WI
,,,TX
,,,KY
,,,ID
,,,NV
,,,PA
,male,22/08/2016,AL
,,22/08/2016,AL
30,male,22/08/2016,NV
47,male,22/08/2016,WI
,,,RI
,male,23/08/2016,MS
,,17/08/2016,NC
,,,NY
,,,OK
,,,TX
,male,24/08/2016,FL
,,,MI
,,25/08/2016,KS
,,25/08/2016,MI
69,male,23/08/2016,CT
21,female,26/08/2016,WY
29,male,26/08/2016,CO
40,male,26/08/2016,NY
,,26/08/2016,TX
40,male,26/08/2016,NY
,,27/08/2016,WA
,male,27/08/2016,PA
,,27/08/2016,DE
,,27/08/2016,IA
36,male,27/08/2016,NJ
,,25/08/2016,TN
53,male,27/08/2016,NY
,,,NJ
,,,MO
,,,FL
25,male,,TX
,,,PA
53,male,29/08/2016,IL
,,29/08/2016,TX
,male,29/08/2016,IL
,,29/08/2016,GA
45,male,29/08/2016,TX
,,,TX
24,male,30/08/2016,NC
,male,31/08/2016,TX
,,,OK
,,,TX
,,,CA
,,,TX
,,19/07/2016,MI
,,31/08/2016,FL
,,31/08/2016,HI
