event_date,age,gender,event_state
02/07/2014,64,male,AK
05/01/2014,26,male,AK
08/12/2014,51,male,AK
11/25/14,20,male,AK
06/04/2014,30,male,AK
01/08/2014,53,male,AL
01/08/2014,63,male,AL
03/10/2014,43,female,AL
04/15/14,33,male,AL
04/23/14,35,male,AL
05/02/2014,59,male,AL
06/05/2014,39,male,AL
06/23/14,46,male,AL
06/24/14,26,male,AL
07/28/14,53,female,AL
08/19/14,51,male,AL
08/19/14,,,AL
08/19/14,,,AL
08/30/14,,,AL
09/04/2014,,,AL
09/12/2014,47,male,AL
09/14/14,62,male,AL
09/15/14,65,male,AL
09/21/14,53,male,AL
09/23/14,33,male,AL
09/23/14,46,male,AL
10/23/14,,,AL
10/23/14,27,male,AL
11/03/2014,41,male,AL
11/19/14,35,male,AL
12/21/14,63,male,AL
5/13/2014,19,male,AL
01/23/14,49,male,AR
01/24/14,33,male,AR
01/28/14,53,male,AR
01/31/14,,male,AR
02/05/2014,71,male,AR
02/11/2014,48,male,AR
02/20/14,49,male,AR
03/12/2014,51,male,AR
03/12/2014,56,male,AR
03/23/14,41,female,AR
04/02/2014,71,male,AR
04/03/2014,65,male,AR
04/08/2014,36,male,AR
04/08/2014,37,male,AR
05/03/2014,31,male,AR
06/02/2014,51,male,AR
06/02/2014,40,male,AR
06/30/14,,,AR
07/04/2014,52,male,AR
07/10/2014,,,AR
08/11/2014,,male,AR
08/13/14,,male,AR
08/22/14,52,male,AR
9/15/2014,40,male,AR
09/17/14,59,male,AR
09/30/14,49,female,AR
12/10/2014,,,AR
01/22/14,48,male,AZ
01/22/14,,male,AZ
01/31/14,57,male,AZ
02/27/14,64,male,AZ
03/03/2014,43,male,AZ
03/10/2014,14,male,AZ
03/10/2014,43,male,AZ
03/10/2014,26,male,AZ
03/14/14,59,male,AZ
06/11/2014,,male,AZ
06/12/2014,28,male,AZ
06/21/14,,male,AZ
07/11/2014,,male,AZ
08/01/2014,27,male,AZ
08/08/2014,,male,AZ
08/25/14,36,male,AZ
08/25/14,41,male,AZ
08/25/14,39,male,AZ
09/22/14,,male,AZ
10/25/14,,male,AZ
10/27/14,,male,AZ
12/17/14,,,AZ
01/14/14,22,male,CA
01/17/14,38,male,CA
01/21/14,42,male,CA
01/24/14,,male,CA
01/30/14,,male,CA
02/04/2014,68,male,CA
02/07/2014,53,male,CA
02/07/2014,46,male,CA
02/08/2014,43,male,CA
02/12/2014,39,female,CA
02/13/14,48,male,CA
02/13/14,,male,CA
02/17/14,34,male,CA
02/17/14,33,male,CA
02/18/14,53,male,CA
02/18/14,50,male,CA
02/21/14,51,male,CA
02/26/14,49,male,CA
03/07/2014,40,male,CA
03/08/2014,67,male,CA
03/11/2014,40,male,CA
03/15/14,,male,CA
03/17/14,48,male,CA
03/19/14,,,CA
03/19/14,48,male,CA
04/07/2014,45,male,CA
04/10/2014,32,male,CA
04/10/2014,53,female,CA
04/14/14,54,male,CA
04/17/14,,male,CA
04/28/14,29,male,CA
