age,gender,event_date,event_state
,male,13/03/2015,AK
23,male,,AK
,female,06/02/2015,AL
,male,05/08/2015,AL
,male,26/06/2015,AL
,male,31/08/2015,AL
,male,28/08/2015,AL
,male,19/02/2015,AL
,female,08/05/2015,AL
,male,29/12/2015,AL
,male,28/10/2015,AL
61,male,10/11/2015,AL
,male,11/03/2015,AL
,male,13/02/2015,AL
,male,20/02/2015,AL
,male,06/04/2015,AL
,male,18/03/2015,AL
,male,27/02/2015,AL
,male,20/07/2015,AL
,male,16/12/2015,AL
,female,06/02/2015,AL
,male,01/09/2015,AL
,male,,AL
25,male,24/06/2015,AL
20,male,,AL
,,,AL
,male,20/11/2015,AL
,male,05/10/2015,AL
53,male,,AL
,male,12/11/2015,AL
,,,AL
25,male,,AL
,,,AL
,,,AL
52,male,16/11/2015,AL
42,male,,AL
,male,21/04/2015,AR
,male,19/10/2015,AR
,male,04/08/2015,AR
59,male,31/07/2015,AR
,male,28/03/2015,AR
,male,27/07/2015,AR
,male,10/03/2015,AR
52,female,18/09/2015,AR
,male,06/11/2015,AR
,,,AR
29,male,,AR
,,,AR
,male,28/08/2015,AZ
46,male,24/09/2015,AZ
,male,09/09/2015,AZ
54,male,21/08/2015,AZ
49,male,,AZ
,,,AZ
,,,AZ
,,,AZ
31,male,,AZ
,male,10/11/2015,CA
,male,31/07/2015,CA
,male,11/03/2015,CA
,male,05/08/2015,CA
,male,08/08/2015,CA
21,male,17/06/2015,CA
24,male,06/10/2015,CA
41,male,13/08/2015,CA
21,male,18/08/2015,CA
33,male,19/09/2015,CA
56,male,01/09/2015,CA
,male,03/08/2015,CA
31,male,20/08/2015,CA
26,male,16/09/2015,CA
79,,27/07/2015,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,12/11/2015,CA
,,,CA
,,,CA
45,male,,CA
,,,CA
,,,CA
,,,CA
33,male,,CA
,,,CA
28,male,,CA
,,,CA
,,,CA
,,,CA
,,02/10/2015,CA
38,male,,CA
,,,CA
,,28/10/2015,CA
29,male,,CA
,,09/12/2015,CA
,,,CA
,,,CA
,,16/12/2015,CA
,,17/11/2015,CA
,,,CA
,,,CA
,,07/10/2015,CA
,,07/10/2015,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
,,,CA
27,male,,CA
,,01/10/2015,CA
,,,CA
,,,CA
,,,CA
,,,CA
,male,24/06/2015,CA
20,male,17/11/2015,CA
57,male,30/10/2015,CA
56,male,13/10/2015,CA
38,male,,CA
64,male,,CA
,male,15/07/2015,CO
,male,14/01/2015,CO
,male,30/01/2015,CO
,male,23/06/2015,CO
,male,24/07/2015,CO
,male,09/04/2015,CO
,male,12/02/2015,CO
,male,23/07/2015,CO
,male,07/01/2015,CO
,male,01/02/2015,CO
22,male,23/07/2015,CO
,,,CO
,,,CO
,,,CO
,,,CO
,,10/11/2015,CO
,,,CO
39,male,,CO
,,,CO
,,,CO
,,,CO
,,,CO
,,,CO
61,male,,CO
,,21/01/2015,CT
,male,23/01/2015,CT
,male,16/12/2015,CT
,male,13/05/2015,CT
,male,01/09/2015,CT
,male,28/01/2015,CT
43,male,26/08/2015,CT
57,male,25/06/2015,CT
57,male,,CT
,male,08/12/2015,CT
61,male,02/05/2015,CT
53,male,17/10/2015,CT
32,male,16/12/2015,CT
19,,18/12/2015,CT
64,male,19/06/2015,CT
63,male,,CT
30,male,,CT
,,,CT
43,male,,CT
55,male,,CT
50,male,,CT
,male,30/06/2015,DC
,male,14/05/2015,FL
,male,15/09/2015,FL
,male,07/06/2015,FL
,male,20/07/2015,FL
,male,18/06/2015,FL
,male,27/07/2015,FL
,female,21/12/2015,FL
,male,28/04/2015,FL
,male,11/08/2015,FL
,male,21/03/2015,FL
,male,15/06/2015,FL
,male,14/09/2015,FL
,male,19/10/2015,FL
,male,14/04/2015,FL
,male,13/08/2015,FL
,male,11/12/2015,FL
,male,26/09/2015,FL
,male,25/08/2015,FL
,male,02/02/2015,FL
,male,19/07/2015,FL
,male,12/04/2015,FL
,male,05/06/2015,FL
,male,23/09/2015,FL
,male,11/05/2015,FL
,male,20/12/2015,FL
,male,24/09/2015,FL
,male,19/01/2015,FL
,male,14/05/2015,FL
,male,26/02/2015,FL
,male,09/04/2015,FL
,male,07/05/2015,FL
,male,20/04/2015,FL
,male,04/01/2015,FL
,male,17/02/2015,FL
,male,08/01/2015,FL
,male,16/04/2015,FL
,male,20/01/2015,FL
,male,20/01/2015,FL
,male,24/04/2015,FL
,male,25/02/2015,FL
34,male,27/08/2015,FL
,male,31/01/2015,FL
