age,gender,event_date,event_state
28,female,2018/11/02,NC
,male,2018/11/03,CA
37,male,2018/11/03,IL
33,male,2018/08/30,UT
28,male,2018/09/28,CO
31,male,2018/10/01,MS
48,male,2018/07/16,IN
52,male,2018/07/12,NE
35,male,2018/10/01,MS
27,male,2018/08/30,TN
30,male,2018/07/16,TX
33,male,2018/08/15,TX
24,male,2017/11/27,MN
42,male,2018/08/29,OH
21,male,2018/08/13,NV
46,male,2018/08/29,FL
34,male,2018/08/29,FL
,male,2018/08/14,NC
27,,2018/08/13,NE
49,male,2018/08/13,OH
75,male,2018/07/17,ID
51,male,2018/08/28,NH
21,male,2018/07/18,TX
65,male,2018/08/15,TN
74,male,2018/07/20,NC
48,male,2018/07/20,CA
27,male,2018/08/12,KS
29,male,2018/07/20,PA
30,male,2018/08/30,PA
49,female,2018/08/14,OR
37,male,2018/07/26,CA
51,male,2018/07/24,AZ
,male,2018/07/23,WA
45,male,2018/08/16,OK
,male,2018/07/23,MD
46,female,2018/07/24,IN
,female,2018/06/02,NC
60,male,2018/07/24,CA
59,male,2018/08/16,CA
55,male,2018/08/16,NJ
41,female,2018/07/25,IA
53,male,2018/07/24,NY
35,male,2018/07/24,AL
19,,2018/07/25,MT
21,male,2018/08/17,TX
27,female,2018/07/24,CA
42,male,2018/05/29,KS
46,female,2018/07/25,VA
,male,2018/08/16,PA
38,male,2018/07/24,AL
36,male,2018/05/28,NC
36,male,2018/05/28,NC
61,male,2018/08/14,FL
47,male,2018/05/29,FL
63,male,2018/05/29,OR
32,male,2018/05/30,TN
,male,2018/07/26,WI
,male,2018/06/02,GA
,male,2018/07/16,
30,male,2018/08/12,MI
27,male,2018/07/25,CA
24,male,2018/07/25,AZ
42,male,2018/07/27,MN
30,male,2018/05/30,NE
33,male,2018/08/12,AR
55,male,2018/07/27,OK
56,male,2018/08/17,AL
29,male,2018/07/28,FL
42,male,2018/08/13,CA
,male,2018/08/20,TX
,male,2018/08/21,MO
64,male,2018/08/11,NY
48,male,2018/07/27,NJ
53,male,2018/08/20,FL
53,male,2018/07/29,NC
34,male,2018/07/24,CA
32,male,2018/08/18,WV
62,male,2018/07/28,IA
52,male,2018/07/30,OH
21,male,2018/08/18,WV
33,male,2018/07/29,CA
63,male,2018/08/23,VT
26,female,2018/08/22,PA
42,male,2018/07/11,LA
56,female,2018/08/16,NY
39,male,2018/07/11,FL
29,male,2018/08/30,PA
58,male,2018/07/11,TN
57,male,2018/07/12,IA
33,male,2018/08/22,TX
57,male,2018/07/12,NC
57,male,2018/08/24,MO
63,female,2018/07/13,CA
27,male,2018/08/23,MD
33,male,2018/07/11,FL
31,male,2018/07/04,MT
57,male,2018/08/06,FL
63,male,2018/08/08,MO
54,male,2018/08/04,IL
57,male,2018/08/08,KY
50,male,2018/08/07,CA
37,male,2018/08/06,WI
60,male,2018/07/13,OH
76,male,2018/07/14,NY
27,male,2018/07/13,AR
48,male,2018/08/13,NC
40,male,2018/08/09,CA
49,male,2018/07/14,TX
30,,2018/07/15,CA
52,female,2018/08/16,UT
35,,2018/07/15,CA
,male,2018/07/15,MA
36,male,2018/07/14,CA
28,male,2018/07/16,NY
53,male,2018/07/15,NC
39,male,2018/07/02,GA
36,male,2018/08/14,NY
24,male,2018/07/03,SC
19,male,2018/07/03,PA
22,male,2018/08/07,WI
46,male,2018/08/10,CA
53,male,2018/08/11,DE
,,2018/07/03,OK
40,male,2018/07/05,VA
57,male,2018/08/11,OR
54,male,2018/08/11,OK
51,male,2018/08/10,CA
45,male,2018/07/30,CA
51,male,2018/07/19,NV
57,male,2018/07/03,NE
55,male,2018/07/05,NY
60,male,2018/07/26,NC
,,2018/07/06,MT
57,male,2018/07/29,TX
,,2018/07/07,LA
19,male,2018/07/26,MD
81,male,2018/07/05,OR
58,male,2018/07/06,MD
31,male,2018/07/31,GA
56,female,2018/08/02,MA
50,male,2018/08/01,PA
44,male,2018/07/31,MI
61,female,2018/07/30,MI
58,male,2018/08/02,WI
40,male,2018/06/20,WA
48,female,2018/06/19,FL
42,male,2018/07/23,FL
63,male,2018/08/02,WA
61,male,2018/07/31,NE
55,male,2018/08/02,IL
61,male,2018/06/20,CT
,male,2018/05/04,WV
28,male,2018/07/02,OK
63,male,2018/08/01,TX
72,male,2018/06/22,
61,male,2018/06/25,KY
60,male,2018/06/26,DC
58,male,2018/08/04,IN
27,male,2018/06/26,NC
61,male,2018/08/04,IL
21,male,2018/08/06,CA
57,male,2018/05/21,MI
20,female,2018/05/19,IN
26,female,2018/05/21,LA
52,male,2018/05/22,NJ
